2016-03-03T13:23:26Z,Does Trump Have a Health Care Plan? Does It Matter?,By THE ASSOCIATED PRESS,"Donald Trump's evolving ideas on health care do not amount to a full plan, and some proposals could mean new political and policy dilemmas for the Republican presidential front-runner and his party."
2016-03-04T00:00:00Z,Transcript of Mitt Romney’s Speech on Donald Trump,NA,"The following is a transcript of Mitt Romney’s remarks addressing the candidacy of Donald J. Trump, as transcribed by the Federal News Service."
2016-03-03T12:35:43Z,Mitt Romney Speech Slamming Donald Trump,By REUTERS,The following is the full text of the speech delivered on Thursday by former Massachusetts Governor and 2012 Republican nominee for U.S. president Mitt Romney to the Institute of Politics at the University of Utah.
2016-03-03T12:22:38Z,Text: Mitt Romney Speech Slamming Donald Trump,By REUTERS,The following is the full text of the speech delivered on Thursday by former Massachusetts Governor and 2012 Republican nominee for U.S. president Mitt Romney to the Institute of Politics at the University of Utah.
2016-03-03T09:57:02Z,The Latest: The Latest From the GOP Presidential Debate,By THE ASSOCIATED PRESS,"The Latest on the 2016 presidential race, which includes a Republican debate on Thursday night in Detroit (all times EST):"
2016-03-04T00:00:00Z,Obama Says Enrollment in Affordable Care Act Reaches 20 Million,By GARDINER HARRIS,The president went to Milwaukee to highlight the success of health care coverage under the act.
2016-03-03T03:49:07Z,Obama Cites Gains in Health Coverage During Milwaukee Visit,By THE ASSOCIATED PRESS,President Barack Obama trumpeted the nation's declining uninsured rate Thursday and said 20 million people have gained insurance as a result of his signature health care law as he commemorated the approaching sixth anniversary of the Affordable Care Act.
2016-03-03T00:00:00Z,Debate Prep: Fact-Checking the G.O.P. Candidates on Health Care,By MARGOT SANGER-KATZ,All the candidates want to replace Obamacare but are thin on details.
2016-03-03T02:47:41Z,Republican Trump Releases Healthcare Proposals,By REUTERS,"U.S. Republican presidential front-runner candidate Donald Trump on Wednesday unveiled proposals for reforming U.S. healthcare that included repealing Obamacare, allowing prescription drugs to be imported, and turning the Medicaid program for the poor into block grants to states."
2016-03-02T20:53:42Z,U.S. Republican Trump Releases Healthcare Proposals,By REUTERS,"U.S. Republican presidential front-runner candidate Donald Trump on Wednesday unveiled proposals for reforming U.S. healthcare that included repealing Obamacare, allowing prescription drugs to be imported, and turning the Medicaid program for the poor into block grants to states."
2016-03-02T13:39:07Z,"Ted Cruz’s Victory Speech: F.D.R., J.F.K. and L.O.L.",By LAWRENCE DOWNES,
2016-03-02T05:00:00Z,Beware: Exploding Politics,By THOMAS L. FRIEDMAN,We have a system that incentivizes polarization and prevents hybrid solutions.
2016-03-02T00:45:42Z,"Factbox-Build a Giant Wall, Cut Education Department. What a President Trump Would Do",By REUTERS,"Republican presidential candidate Donald Trump, who scored a major victory in a series of Super Tuesday nominating contests, has been criticized by some in his party for being vague on policy specifics and heavy on rhetoric."
2016-03-02T00:34:07Z,"Carson Signals Exit, U.S. Republicans Grapple With Trump Victories",By REUTERS,"Retired neurosurgeon Ben Carson signaled on Wednesday he was quitting the Republican presidential race, leaving three candidates facing Donald Trump as the party establishment struggled to find a way to halt the outspoken businessman."
2016-03-02T00:00:00Z,Why Trump Now?,By THOMAS B. EDSALL,What made it all come together for the Republican presidential frontrunner in 2016.
2016-02-29T04:41:52Z,"GOP Badly Split as Trump, Clinton Seek Super Tuesday Wins",By THE ASSOCIATED PRESS,"On the eve of Super Tuesday's crucial primaries, a sharp new divide erupted between Republicans who pledge to fall in line behind Donald Trump if he wins their party's nomination and others who insist they can never back the bombastic billionaire."
2016-02-29T00:00:00Z,"Clinton, Sanders and the Fight Over Obama’s Legacy",By JOY-ANN REID,A call for ‘revolution’ can read as a rebuke of the president.
2016-02-27T00:00:00Z,Trump Meets the Mean Boys,By GAIL COLLINS,The key to a successful debate: Avoid discussions of actual policy and concentrate on inflicting death by insult.
2016-02-26T16:43:40Z,"Before There Was Trump, There Was Gingrich",By TERESA TRITCH,
2016-02-26T04:09:21Z,AP FACT CHECK: Trump Objects to Cursing,By THE ASSOCIATED PRESS,"Donald Trump, offended by coarse language?"
2016-02-26T01:06:31Z,"In Florida, Donald Trump Has a Model for Success",By REUTERS,The pundits said he never had a chance: He was a high-powered U.S. businessman who had never run for office. He largely financed his own campaign. He took a hard line on illegal immigration and Obamacare. His attacks on Islam were controversial.
2016-02-26T00:00:00Z,Transcript of the Republican Presidential Debate in Houston,NA,"Following is a transcript of the 10th Republican debate, as transcribed by the Federal News Service."
2016-02-25T22:09:38Z,AP FACT CHECK: Trump Objects to Cursing,By THE ASSOCIATED PRESS,"Donald Trump, offended by coarse language?"
2016-02-25T22:09:53Z,Donald Trump Is Focus of Attacks in the Republican Debate,By NICHOLAS KRISTOF,
2016-02-26T00:00:00Z,What You Missed in the Debate,By NICK CORASANITI,"With less than a week to go before Super Tuesday, the remaining Republican presidential candidates gathered to debate in Houston."
2016-02-25T06:09:56Z,"Rubio, Cruz Go on Attack Against Trump at Debate",By REUTERS,"Republican rival Marco Rubio attacked front-runner Donald Trump at length for the first time at a debate on Thursday, targeting his wealth and absence of detailed policy plans to try to thwart the billionaire from making massive gains next week in the presidential race."
2016-02-25T03:43:31Z,AP-GfK Poll: Doubts on Sanders 'Medicare for All' Plan,By THE ASSOCIATED PRESS,"At first, many Americans like the idea of ""Medicare for all,"" a cradle-to-grave government-run health system that's a rallying cry for Democratic presidential candidate Bernie Sanders."
2016-02-25T00:00:00Z,The Secret Side of Donald Trump,By GAIL COLLINS,A never-ending search for the least-bad Republican.
2016-02-24T15:50:22Z,"Donald Trump, Addressing Evangelicals, Questions John Kerry&#8217;s Familiarity With the Bible",By ASHLEY PARKER,
2016-02-24T10:40:50Z,House Republicans Ready Legal Fight Against Obama's Guantanamo Plan,By REUTERS,"Republicans in the House of Representatives are preparing legal action in case President Barack Obama tries to transfer detainees at the military prison at Guantanamo Bay to the United States, House Speaker Paul Ryan said on Wednesday."
2016-02-24T08:50:34Z,The Latest: Rubio Attacks Trump by Name Ahead of Debate,By THE ASSOCIATED PRESS,The Latest on the 2016 presidential campaign a day before the Republican presidential debate and ahead of Saturday's Democratic presidential primary in South Carolina (all times local):
2016-02-24T04:21:11Z,Probe: HealthCare.gov 'Passive' on Heading Off Fraud,By THE ASSOCIATED PRESS,"With billions in taxpayer dollars at stake, the Obama administration has taken a ""passive"" approach to identifying potential fraud involving the president's health care law, nonpartisan congressional investigators say in a report released Wednesday."
2016-02-24T00:00:00Z,The Devil in Ted Cruz,By FRANK BRUNI,He makes angelic claims about his conduct and campaign. But he’s diabolically hypocritical.
2016-02-23T18:13:51Z,Carson Questions Obama Blackness in Fading Campaign,By THE ASSOCIATED PRESS,Ben Carson is trying to reinvigorate his campaign for Republican presidential nomination by becoming the latest to question Barack Obama's blackness ahead of critical upcoming votes.
2016-02-24T00:00:00Z,Nudges Aren’t Enough for Problems Like Retirement Savings,By EDUARDO PORTER,"Ideas drawn from psychology are helping Americans make better economic choices, but they fail to address problems in areas like retirement savings."
2016-02-23T14:12:23Z,Rubio-Kasich Revisited,By ROSS DOUTHAT,
2016-02-23T00:00:00Z,The Winnowing of the Republican Field,NA,"After Jeb Bush’s departure, readers discuss Donald Trump’s appeal and compare Ted Cruz and Marco Rubio."
2016-02-22T12:47:25Z,"Health Care Issue, Longtime Uniter of Democrats, Now Divides",By THE ASSOCIATED PRESS,"Health care for all. It's a goal that tugs at the heartstrings of Democrats, but pursuing it usually invites political peril."
2016-02-21T00:00:00Z,Is There Any Stopping Donald Trump?,By FRANK BRUNI,There was thought — and hope — that he’d fade. Think again.
2016-02-21T00:00:00Z,"Cruz and Rubio, Separated at Mirth",By FRANK BRUNI,"The two staunchly conservative senators are more alike than different. To watch them, you’d never know it."
2016-02-20T00:00:00Z,Donald Trump in Triage Mode After Shocking Conservatives With Health Care Comments,By ALAN RAPPEPORT,"Up to now, Mr. Trump has been impervious to allegations of inconsistent policy positions."
2016-02-21T00:00:00Z,Letters: The Most Unkindest Cut,NA,"Readers respond to recent reviews of “Pogue’s Basics: Life,” Tessa Hadley’s “The Past” and more."
2016-02-19T00:00:00Z,Varieties of Voodoo,By PAUL KRUGMAN,Bernie Sanders needs to get real about his economic program.
2016-02-19T05:00:00Z,Supreme Court Appointment Could Reshape American Life,By ADAM LIPTAK,An appointment by President Obama of a successor to Justice Antonin Scalia could set in motion a profound ideological shift on the court and create a new liberal majority.
2016-02-17T14:58:46Z,Ted Cruz Rebuffs Donald Trump Ad Lawsuit Threat,By MATT FLEGENHEIMER,
2016-02-16T15:37:09Z,"Cruz Tax Plan Would Slash U.S. Revenue, Favor Wealthy: Analysis",By REUTERS,"A tax plan proposed by Republican presidential candidate Ted Cruz would cut federal revenues by $8.6 trillion over 10 years, adding substantially to the debt, according to an analysis published on Tuesday by a nonpartisan research center. "
2016-02-16T11:36:31Z,The Latest: Donald Trump Rings Up 'Late Show',By THE ASSOCIATED PRESS,The Latest on campaign 2016 (all times local):
2016-02-15T22:25:52Z,November's Referendum on Justice,,
2016-02-16T00:00:00Z,"Recalling Scalia, a Literary Stylist Who Scorned ‘Jiggery-Pokery’",By JENNIFER SCHUESSLER,"Talking with Yury Kapgan, an intellectual-property lawyer who analyzed the justice’s prose in a journal article titled “Of Golf and Ghouls.”"
2016-02-15T00:00:00Z,Liberal Love for Antonin Scalia,By JAMAL GREENE,He made constitutional theory sexy.
2016-02-14T00:00:00Z,Transcript of the Republican Presidential Debate,NA,"Following is a transcript of the Republican debate, as transcribed by the Federal News Service."
2016-02-13T00:00:00Z,"Antonin Scalia, Conservative Legal Giant",By ROSS DOUTHAT,"For his intellect and influence, he will be remembered as the most important Supreme Court justice of his era."
2016-02-13T18:34:49Z,U.S. Justice Scalia: Outspoken Conservative Stalwart,By REUTERS,"In almost 30 years on the bench of the U.S. Supreme Court Justice Antonin Scalia was strident, colorful, and most of all, conservative. That made him an unlikely buddy for fellow justice Ruth Bader Ginsburg."
2016-02-13T08:39:57Z,"The Latest: Cruz, Trump Offer Closing Arguments to SC",By THE ASSOCIATED PRESS,"The Latest on the 2016 presidential race, with the focus turning to South Carolina and the Republican debate on Saturday night (all times local):"
2016-02-12T12:44:12Z,"Tea Party Favorite Bets Cruz, Trump Coattails Can Beat Burr",By THE ASSOCIATED PRESS,"Two years after his loss to a Republican favored by party leaders in Washington, Greg Brannon is betting the popularity of outsiders like Ted Cruz and Donald Trump can sweep him to a U.S. Senate primary upset win."
2016-02-12T09:56:00Z,Obama Recites Love Poem to Wife on National Television,By THE ASSOCIATED PRESS,Someone call the fire department. It's about to get hot at the White House.
2016-02-12T04:02:38Z,Kasich Works to Assure South Carolina of Conservative Record,By THE ASSOCIATED PRESS,"An energized John Kasich heads into South Carolina's Republican presidential primary hoping to build on a strong showing in New Hampshire, but he's refusing to tailor or shift his message to fit the state's more conservative electorate."
2016-02-12T00:00:00Z, Karl Rove Bamboozles the I.R.S. ,By THE EDITORIAL BOARD,Trying to portray sheer check-writing power as a “social welfare” benefit insults honest taxpayers.
2016-02-12T01:00:32Z,"Clinton, Sanders Clash Over Obama as They Vie for Minority Votes",By REUTERS,"Democratic presidential candidates Hillary Clinton and Bernie Sanders clashed sharply in a debate on Thursday over their support for President Barack Obama, with Sanders accusing Clinton of ""a low blow"" after she compared him to Republicans."
2016-02-12T00:00:00Z,Transcript of the Democratic Presidential Debate in Milwaukee,NA,"Following is a transcript of the Democratic debate, as transcribed by the Federal News Service."
2016-02-11T06:02:49Z,"Clinton and Sanders Battle in Debate Over Healthcare, Wall Street Ties",By REUTERS,"Democratic presidential candidates Hillary Clinton and Bernie Sanders battled over healthcare and Wall Street in a debate on Thursday, with Clinton accusing Sanders of misleading Americans on his healthcare plan and making promises ""that cannot be kept."""
2016-02-10T14:18:39Z,"Ryan, Republicans Grapple With Alternative to Obama Budget",By THE ASSOCIATED PRESS,Meet the new boss. Confronting the same tea party challenges as the old boss.
2016-02-11T00:00:00Z,"Before Donald Trump, There Was Jan Brewer",By JOSH BARRO,The former Arizona governor showed that G.O.P. voters could be drawn to a tough immigration stance and moderation on taxes and spending.
2016-02-10T00:00:00Z,What About Ted Cruz?,By THOMAS B. EDSALL,The prospect of a general election between candidates whom leaders and strategists in both parties see as losers is more than an idle fantasy.
2016-02-09T18:55:57Z,Sununu &#038; Son: A Play for Primary Day,By LAWRENCE DOWNES,
2016-02-09T12:15:40Z,John Kasich’s Listening Tour,By ELIZABETH WILLIAMSON,
2016-02-09T04:16:31Z,Obama Unveils Record $4.1 Trillion Election-Year Budget,By THE ASSOCIATED PRESS,"President Barack Obama on Tuesday unveiled a record $4.1 trillion, election-year budget that finances Democratic priorities like education, health care and climate change with new taxes on crude oil, the wealthy and big banks."
2016-02-09T03:21:15Z,Staying Sober After Treatment Ends,By TINA ROSENBERG,
2016-02-09T00:00:00Z,I Miss Barack Obama,By DAVID BROOKS,This campaign is highlighting some of the president’s better traits.
2016-02-09T00:01:30Z,Gov't Report: 8 States Had Significant Drop in Uninsured,By THE ASSOCIATED PRESS,"Eight states saw a significant drop last year in the number of residents going without health insurance, according to a government report out Tuesday that has implications for the presidential campaign."
2016-02-08T12:18:40Z,Marco Rubio’s Lighter Side,By ANNA NORTH,
2016-02-08T05:00:00Z,The Time-Loop Party,By PAUL KRUGMAN,"Republican candidates keep repeating their canned policy statements, despite evidence that these prescriptions have failed in the real world."
2016-02-08T06:34:46Z,Cognizant Forecasts Slowest Revenue Growth in 14 Years,By REUTERS,"IT services provider Cognizant Technology Solutions Corp forecast its slowest quarterly revenue growth in 14 years, adding to mounting worries about clients keeping a tight lid on technology spending."
2016-02-07T01:21:19Z,"Rubio Falters in Presidential Debate, Offering Hope to Rivals",By REUTERS,"Republican White House contender Marco Rubio struggled at a debate on Saturday at the worst possible time, potentially confounding his bid to emerge as Donald Trump's chief rival in New Hampshire and giving hope to three rivals desperate for a strong showing.  "
2016-02-07T00:00:00Z,Transcript of the Republican Presidential Debate,NA,"Following is a transcript of the Republican debate, as transcribed by the Federal News Service."
2016-02-06T22:20:03Z,"AP FACT CHECK: Skewed GOP Claims on Taxes, Health Insurance",By THE ASSOCIATED PRESS,"Viewers of the latest Republican presidential debate didn't get a straight story from the candidates on U.S. taxes vs. the world, the state of the health insurance marketplace under ""Obamacare"" or what might happen if that law is taken away."
2016-02-06T10:44:01Z,The Latest: GOP Candidates Offer Closing Arguments to NH,By THE ASSOCIATED PRESS,"The Latest on the race for president, with candidates focusing on New Hampshire, which holds the first primary in the 2016 race on Tuesday (all times local):"
2016-02-06T06:05:11Z,Rubio Comes Under Heavy Fire at Republican Presidential Debate,By REUTERS,Rising Republican contender Marco Rubio came under heavy attack in a presidential debate on Saturday from rivals who accused him of being too inexperienced for the White House and walking away from an immigration reform plan he championed.
2016-02-08T00:00:00Z,"Marlow W. Cook, Senator Who Groomed Mitch McConnell, Dies at 89",By WILLIAM GRIMES,"Mr. Cook, a moderate Republican from Kentucky, made Mr. McConnell his assistant in Washington but later criticized him for moving sharply to the right."
2016-02-06T00:00:00Z,"Hillary Clinton Lobbied on Health Care as Secretary of State, Emails Show",By DAVID M. HERSZENHORN,"In 2009, as President Obama’s Affordable Care Act reached a crucial phase, his top diplomat pressed members of Congress and was keenly interested in the bill."
2016-02-05T12:11:19Z,Remembrance of Forecasts Past,By PAUL KRUGMAN,
2016-02-05T00:00:00Z,Who Hates Obamacare?,By PAUL KRUGMAN,Left-wing attacks on an imperfect program could undermine progressives’ interests.
2016-02-05T01:45:06Z,"In Contentious Debate, Clinton and Sanders Both Claim 'Progressive' Mantle",By REUTERS,"Democrat Hillary Clinton went on the attack against rival Bernie Sanders on Thursday in their most contentious presidential debate yet, questioning whether his ambitious proposals were viable and accusing him of an ""artful smear"" in suggesting she could be bought by political donations."
2016-02-05T00:57:01Z,"In Contentious Debate, Clinton and Sanders Both Claim 'Progressive' Mantle",By REUTERS,"Democrat Hillary Clinton went on the attack against rival Bernie Sanders on Thursday in their most contentious presidential debate yet, questioning whether his ambitious proposals were viable and accusing him of an ""artful smear"" in suggesting she could be bought by political donations."
2016-02-05T00:00:00Z,Transcript of the Democratic Presidential Debate,NA,"Following is a transcript of the Democratic debate, as transcribed by the Federal News Service."
2016-02-04T15:34:18Z,U.S. Signs Up 12.7 Million Americans for Obamacare Health Insurance,By REUTERS,"About 12.7 million Americans signed up for 2016 health insurance coverage through the government insurance exchanges, surpassing its expectations, U.S. Health and Human Services Secretary Sylvia Burwell said on Thursday."
2016-02-04T15:12:38Z,Obama Health Care Law Posts Respectable Sign-Up Season,By THE ASSOCIATED PRESS,"Still facing political jeopardy, President Barack Obama's health care law beat expectations by earning solid sign-ups this year, according to figures released Thursday by the administration."
2016-02-04T11:19:02Z,Clinton Goes on Attack Against Sanders in Combative Presidential Debate,By REUTERS,"Democrat Hillary Clinton went on the attack against rival Bernie Sanders on Thursday in their most contentious presidential debate yet, questioning whether his ambitious proposals were viable and saying it was unfair to question her liberal credentials."
2016-02-04T05:43:16Z,Kentucky Tops Coverage Gains as GOP Looks to Remake Medicaid,By THE ASSOCIATED PRESS,"As Gov. Matt Bevin prepares to remake Kentucky's Medicaid program, a new national survey shows what's at stake: gains in insurance coverage matched only by one other state."
2016-02-04T05:43:46Z,10 Things to Know for Friday,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about Friday:"
2016-02-04T00:00:00Z,"And Now, the Marco Memo",By GAIL COLLINS,He’s still giving much the same speech but not the same stances.
2016-02-03T20:58:16Z,Obama Budget to Adjust Health Insurance 'Cadillac Tax': Adviser,By REUTERS,"President Barack Obama will propose tailoring the controversial ""Cadillac tax"" on expensive private health insurance plans to reflect regional differences when he releases his 2017 budget plan next week, a senior White House adviser said in an article released on Wednesday."
2016-02-03T13:18:29Z,"Half A Loaf, Financial Reform Edition",By PAUL KRUGMAN,
2016-02-03T11:09:53Z,Trump Accuses Cruz of Stealing Iowa Caucuses Through 'Fraud',By REUTERS,Republican presidential candidate Donald Trump on Wednesday accused rival Ted Cruz of stealing a victory in the Iowa caucuses and called for another vote or nullification of Cruz's win.
2016-02-03T10:47:41Z,"Ryan Calls for Unity, Less Anger From His Fractious GOP",By THE ASSOCIATED PRESS,House Speaker Paul Ryan called on Republicans Wednesday to unify and stop fighting each other as he tried steering his fractious party into an election year devoid of the collisions between conservatives and pragmatists that transformed parts of 2015 into a GOP nightmare.
2016-02-03T09:59:34Z,"The Latest: Sanders, Clinton Continue 'Progressive' Spat",By THE ASSOCIATED PRESS,The Latest from presidential contenders on the campaign trail (all times local):
2016-02-02T18:20:14Z,House Fails to Knock Down Obama Veto of Anti-Obamacare Bill,By REUTERS,"The U.S. House of Representatives on Tuesday failed to override President Barack Obama's veto of legislation that would have dismantled his signature healthcare law, the Affordable Care Act."
2016-02-02T12:50:59Z,House GOP Fails Anew to Repeal Obama's Health Care Law,By THE ASSOCIATED PRESS,"Republicans failed in their latest futile attempt Tuesday to kill President Barack Obama's health care overhaul, a Groundhog Day vote by the House that was solely an exercise in election-year political messaging."
2016-02-02T03:40:48Z,AP News Guide: Cruz Wins Iowa; Dem Race Up in Air,By THE ASSOCIATED PRESS,"The opening contest of the 2016 presidential election delivered an Iowa victory to hard-charging conservative Ted Cruz, humble pie to Donald Trump and a night of bristling suspense in a too-close-to-call contest between Democrats Hillary Clinton and Bernie Sanders."
2016-02-02T01:45:33Z,Marco Rubio Emerges as Champion of Battered Republican Establishment,By REUTERS,"Texas Senator Ted Cruz was victorious in the first Republican nomination contest of the 2016 White House race, but there was another big winner in Iowa on Monday night: Florida Senator Marco Rubio and the Republican establishment. "
2016-02-02T00:00:00Z,Making Choices in Iowa,By THE EDITORIAL BOARD,"Following a year of venting and anger, voters can only hope that the presidential campaign will now move toward issues and ideas."
2016-02-01T13:54:49Z,Cruz Wins in Iowa's Republican Caucuses,By THE ASSOCIATED PRESS,"Ted Cruz, the self-proclaimed outsider and tea party champion, was warmly embraced by conservative Iowa Republicans, whose historic turnout sealed his victory in the Iowa caucuses Monday."
2016-02-01T12:30:42Z,Voter Who Confronted Ted Cruz on Obamacare Said He&#8217;s Surprised by the Attention,By STEVE EDER,
2016-02-01T00:00:00Z,What Is Marco Rubio After in Iowa?,By ROBERT DRAPER,How the Florida senator’s campaign is hoping to make the best of a likely third-place showing in the state’s caucus.
2016-02-01T03:34:09Z,White House Brief: Things to Know About Ted Cruz,By THE ASSOCIATED PRESS,"Texas Sen. Ted Cruz tries to position himself as the only consistent conservative in the race for president, railing against the ""Washington cartel"" while pushing a conservative agenda that appeals to the tea party and evangelical wings of the Republican Party. Here's a quick snapshot of things to know about him."
2016-01-31T23:01:33Z,AP News Guide: Iowans Give Cruz 1st Win of 2016 Election,By THE ASSOCIATED PRESS,"Ted Cruz, a hard-driving conservative, defeated national front-runner Donald Trump in a fierce struggle for supremacy in the Iowa Republican caucuses Monday while Hillary Clinton and Bernie Sanders battled far into the night over who will claim the first prize in the Democratic presidential contest."
2016-01-31T00:00:00Z,"Trump, Sanders and the Revolt Against Decadence",By ROSS DOUTHAT,"Donald Trump and Bernie Sanders, in very different ways, are telling us we don’t have to settle for things as they are."
2016-01-30T11:50:17Z,"Now Deeply Christian, Cruz's Religion Once Wasn't So Obvious",By THE ASSOCIATED PRESS,"Ted Cruz sometimes sounds more like a preacher than a presidential candidate, praising the transformative love of Jesus Christ and promising to defend religious liberty. But the Texas senator rarely evokes the biblical tenet of tithing, the mandate that 10 percent of possessions be donated to God."
2016-01-31T00:00:00Z,A Chance to Reset the Republican Race,By THE EDITORIAL BOARD,Gov. John Kasich is the only plausible choice for Republicans tired of the extremist front-runners in the primary contest.
2016-01-30T10:41:23Z,A Cruz-Rubio Feud Flares in Iowa Closer,By THE ASSOCIATED PRESS,"As if hearing Marco Rubio's footsteps creeping up on him, Ted Cruz directed much of his final advertising against the Florida senator in the frenzied weekend prelude to the Iowa caucuses, feeding a Republican feud that turned increasingly bitter before voters have their first say in the 2016 presidential race."
2016-01-29T13:07:26Z,The Perils of Political Dads,By ANNA NORTH,
2016-01-29T05:32:17Z,White House Brief: Things to Know About Ted Cruz,By THE ASSOCIATED PRESS,"Texas Sen. Ted Cruz tries to position himself as the only consistent conservative in the race for president, railing against the ""Washington cartel"" while pushing a conservative agenda that appeals to the tea party and evangelical wings of the Republican Party. Here's a quick snapshot of things to know about him."
2016-01-29T03:26:24Z,"AP FACT CHECK: GOP Claims on Health Plans, China, Economy",By THE ASSOCIATED PRESS,"Ted Cruz spoke of millions losing health coverage &#8212; but more than 16 million people have gained it, shrinking the pool of uninsured like never before. Donald Trump laid roughly the entire U.S. trade deficit at the feet of China, botching the numbers. Chris Christie overlooked pay gains for construction workers in a lunch-pail tale meant to slam President Barack Obama."
2016-01-29T00:00:00Z,Transcript of the Main Republican Presidential Debate,By THE NEW YORK TIMES,"Following is a transcript of the main Republican debate, as transcribed by the Federal News Service."
2016-01-28T22:15:22Z,"AP FACT CHECK: GOP Claims on Carpet Bombs, Kurds and Economy",By THE ASSOCIATED PRESS,"Republican presidential contenders let fly with some inaccuracies when they badmouthed the Obama administration on health care, military readiness and pay for construction workers in their latest debate."
2016-01-29T00:00:00Z,Transcript of the Preliminary G.O.P. Presidential Debate,By THE NEW YORK TIMES,"Following is a transcript of the Republican “undercard” debate held Thursday in Des Moines, as recorded by the Federal News Service."
2016-01-28T00:00:00Z,Deconstructing Hillary and Bernie,By GAIL COLLINS,Let’s look at how the two Democratic candidates — Martin who? — differ.
2016-01-28T00:00:00Z,Oklahoma Resists Push for Enrollment in Affordable Care Act Coverage,By ROBERT PEAR,"Supporters of the law regularly encounter stony skepticism in the state: “Obamacare is toxic,” said Craig W. Jones of the Oklahoma Hospital Association."
2016-01-27T06:11:49Z,Health Insurer Anthem Says Obamacare Costs Drag Down Fourth-Quarter Profit,By REUTERS,"Health insurer Anthem Inc, which is in the process of buying smaller rival Cigna Corp, said on Wednesday its individual Obamacare exchange health plans weighed on fourth-quarter profit, causing it to miss analysts' expectations."
2016-01-26T14:12:39Z,The Anti-Fiscal Bubble,By PAUL KRUGMAN,
2016-01-26T10:16:41Z,Democratic Mayor to Challenge GOP's Rand Paul in Senate Race,By THE ASSOCIATED PRESS,"Lexington Mayor Jim Gray filed to run for Rand Paul's U.S. Senate seat on Tuesday, giving Paul a viable challenger and complicating his bid for re-election as he lags in the polls in his presidential campaign."
2016-01-31T00:00:00Z,Ted Cruz’s Evangelical Gamble,By ROBERT DRAPER,The candidate’s strategy to win the White House depends on turning out millions of new religious voters.
2016-01-26T00:00:00Z,Budget Office Lowers Its Forecast for Obamacare Enrollment,By MARGOT SANGER-KATZ,"Two years in, it’s clear that progress in reducing the rate of the uninsured is going to be slower than proponents hoped. But the news isn’t all bad."
2016-01-25T00:00:00Z,Hillary Clinton Stumbles,By CHARLES M. BLOW,"Although Bernie Sanders has electability issues, the Clinton campaign has made mistakes that give him a better chance at the nomination."
2016-01-24T00:00:00Z,A Day of Endorsements for Presidential Candidates in Iowa,By TRIP GABRIEL,The Des Moines Register backed Senator Marco Rubio of Florida for the Republicans; and Hillary Clinton for the Democrats. And Senator Charles E. Grassley shared a stage with Donald J. Trump.
2016-01-23T16:16:39Z,"&#8216;Hillarycare&#8217; Failed, but Hillary Clinton Reminds Voters She Tried",By AMY CHOZICK,
2016-01-24T00:00:00Z,"Facts, Fairness, and the Election­",By MARGARET SULLIVAN,"As voters prepare to cast their first ballots, a look at how The Times is covering the race."
2016-01-23T09:01:00Z,Wonks and Minions,By PAUL KRUGMAN,
2016-01-23T00:00:00Z,Group Backing Jeb Bush Draws on ‘Jeopardy’ to Attack John Kasich,By NICK CORASANITI,"Right to Rise, the “super PAC” supporting Mr. Bush, uses Mr. Kasich’s record as a governor and congressman from Ohio to paint him as out of step with New Hampshire values."
2016-01-22T00:00:00Z,The Republicans’ Downward Spiral,NA,A reader writes that the potential self-destruction of the party is not accidental.
2016-01-20T00:00:00Z,How Much Should a University Have to Reveal About a Sexual-Assault Case?,By JON KRAKAUER,I sued the University of Montana to find out — and the implications of the case reach far beyond the state.
2016-01-20T18:38:44Z,House GOP Subpoenas Treasury's Lew on 'Obamacare' Papers,By THE ASSOCIATED PRESS,"Two top House Republicans have subpoenaed Treasury Secretary Jacob Lew, seeking documents involving payments to insurance companies to lower out-of-pocket costs for some people enrolled under the Affordable Care Act."
2016-01-20T12:50:50Z,GOP Candidate Kasich Addresses NH House Ahead of Primary,By THE ASSOCIATED PRESS,Ohio Gov. John Kasich praised the New Hampshire Legislature on Wednesday for expanding Medicaid under the president's health care overhaul law &#8212; a rare move for GOP presidential contender &#8212; saying that the decision saved lives.
2016-01-20T00:00:00Z,The Price of Republican Orthodoxy,By THOMAS B. EDSALL,"In many ways, the party’s strategy of resistance to all things Democratic has backfired."
2016-01-19T19:01:30Z,"Louisiana Governor Urges Tax Hike, Tapping Reserves to Fix Budget Gap",By REUTERS,Louisiana Governor John Bel Edwards on Tuesday urged state legislators to approve a plan to increase taxes and tap reserves to plug the largest budget shortfall in state history.
2016-01-19T14:45:48Z,Iowa Governor Calls for Anti-Cruz Vote on Ethanol Issue,By THE ASSOCIATED PRESS,"Republican presidential hopeful Ted Cruz received an anti-endorsement from the governor of Iowa, Tuesday, host of the country's lead-off presidential caucus, on account of his failure to support renewable fuels like ethanol."
2016-01-19T11:05:16Z,Gov't Report: Budget Deficit to Rise to $544B This Year,By THE ASSOCIATED PRESS,"A government report released Tuesday estimates that this year's budget deficit will rise to $544 billion, an increase over prior estimates that can be attributed largely to tax cuts and spending increases passed by Congress last month. The deficit and debt picture over the long-term has also worsened considerably."
2016-01-19T09:59:33Z,U.S. Top Court Rejects New Challenge to Obamacare,By REUTERS,"The U.S. Supreme Court, which delivered major rulings in 2012 and 2015 preserving President Barack Obama's signature healthcare law, on Tuesday declined to take up a new, long-shot challenge to Obamacare brought by an Iowa artist."
